net,length_um
clk,815.895µm
clknet_0_clk_regs,687.1µm
clknet_3_4__leaf_clk_regs,513.915µm
_1238_,474.73µm
net608,446.1µm
net726,434.72µm
net738,410.575µm
net786,398.11µm
clknet_3_6__leaf_clk_regs,392.37µm
_1663_,387.51µm
_0794_,379.14µm
net750,374.255µm
net581,374.13µm
net781,367.885µm
net780,367.46µm
net601,366.01µm
net19,365.565µm
clknet_3_5__leaf_clk_regs,360.99µm
net645,360.715µm
net816,360.005µm
net776,358.575µm
net765,354.525µm
net743,353.515µm
clknet_3_2__leaf_clk_regs,353.38µm
net17,351.67µm
net649,346.78µm
net586,342.795µm
net15,341.05µm
net854,339.42µm
net735,337.545µm
net13,336.41µm
net9,335.885µm
net767,331.53µm
net585,329.98µm
net12,326.23µm
net859,323.105µm
rst,317.46µm
clknet_3_7__leaf_clk_regs,313.09µm
net18,312.48µm
net656,311.855µm
net777,311.71µm
net663,310.87µm
net771,308.76µm
net14,307.28µm
net658,305.63µm
net761,305.195µm
net668,303.72µm
net16,299.99µm
_1643_,299.135µm
_1732_,297.385µm
net772,296.875µm
net587,296.66µm
clknet_3_0__leaf_clk_regs,296.66µm
net760,296.36µm
net598,292.76µm
net596,291.325µm
net766,289.175µm
net755,286.84µm
net20,285.74µm
net801,274.665µm
net606,268.42µm
net739,266.255µm
net723,265.36µm
net757,264.25µm
_1634_,262.015µm
net604,261.79µm
_1647_,259.995µm
net742,259.85µm
_2443_,259.29µm
net722,258.585µm
net591,257.52µm
net11,257.11µm
net745,256.87µm
net594,254.73µm
_0577_,253.715µm
clknet_3_3__leaf_clk_regs,253.505µm
clknet_3_1__leaf_clk_regs,252.475µm
net793,252.2µm
net666,250.465µm
net770,250.295µm
net741,249.765µm
net697,248.4µm
net762,244.955µm
net664,244.87µm
_1768_,244.58µm
_1625_,241.745µm
net593,239.385µm
net787,239.285µm
net602,239.16µm
net646,238.265µm
net588,235.515µm
_0492_,234.725µm
net595,234.445µm
net804,231.065µm
net704,227.805µm
_1102_,226.62µm
net821,225.345µm
net832,225.315µm
net749,223.525µm
_0531_,222.815µm
net830,222.68µm
net631,221.93µm
net597,220.155µm
net812,217.785µm
net627,216.27µm
net705,215.39µm
net724,212.305µm
_0687_,211.545µm
net818,211.37µm
net758,209.225µm
_0472_,209.19µm
net725,208.205µm
net759,207.79µm
net784,207.77µm
result_ram\[17\],206.58µm
net748,205.59µm
net642,204.78µm
_1256_,204.205µm
net10,203.66µm
net706,201.945µm
net744,201.77µm
_0705_,200.81µm
result_ram\[16\],199.94µm
net752,199.22µm
net603,198.47µm
net703,197.91µm
_2087_,197.07µm
_1673_,196.45µm
net751,192.72µm
net753,192.435µm
_2014_,190.2µm
_2058_,188.635µm
net599,188.29µm
net820,186.885µm
net783,184.78µm
net791,183.59µm
net773,179.32µm
net613,178.71µm
_0482_,178.24µm
_1513_,178.08µm
net707,177.845µm
net747,176.5µm
_1639_,176.465µm
net858,174.725µm
net640,174.7µm
_0914_,174.135µm
_2452_,172.91µm
net653,172.555µm
net652,172.005µm
net632,171.325µm
net621,171.06µm
net710,170.17µm
net584,170.16µm
_1904_,170.04µm
_1381_,169.75µm
net654,168.4µm
net651,167.98µm
net708,167.435µm
net763,166.52µm
_1509_,164.71µm
net754,163.635µm
_2026_,163.375µm
net855,161.925µm
net813,161.85µm
net605,160.75µm
net819,159.61µm
net811,159.6µm
net696,158.16µm
net6,158.1µm
clknet_leaf_36_clk_regs,157.915µm
net769,157.17µm
_0816_,156.815µm
_2072_,156.635µm
net633,156.635µm
net700,156.525µm
_1511_,155.97µm
net702,155.925µm
net639,155.505µm
net823,155.055µm
net617,154.91µm
net831,154.825µm
net792,154.435µm
net667,153.7µm
_2151_,153.675µm
net824,153.64µm
_1902_,153.6µm
clknet_leaf_18_clk_regs,153.33µm
_0470_,153.165µm
net756,152.29µm
net853,152.185µm
u_mac_2.temp_res\[5\],150.9µm
clknet_leaf_21_clk_regs,150.795µm
_1244_,150.505µm
_1631_,150.455µm
net746,150.235µm
net802,150.2µm
net825,150.09µm
net727,149.8µm
_2088_,149.53µm
net782,148.62µm
net789,147.45µm
net648,147.09µm
net620,147.07µm
_0451_,146.88µm
_2556_,146.88µm
_1290_,146.54µm
_0807_,145.715µm
net815,145.715µm
net644,145.605µm
_0869_,145.55µm
clknet_leaf_11_clk_regs,143.395µm
net7,143.145µm
clknet_leaf_10_clk_regs,142.87µm
net4,142.38µm
_1676_,142.21µm
_0614_,141.535µm
_0419_,140.89µm
net659,140.835µm
clknet_leaf_39_clk_regs,140.695µm
clknet_leaf_12_clk_regs,140.67µm
net817,140.49µm
net5,139.98µm
_1652_,139.655µm
net822,138.86µm
_2559_,138.73µm
_1264_,138.54µm
_0929_,138.135µm
net3,138.08µm
result_ram\[15\],138.04µm
net665,138.035µm
net701,137.845µm
net647,137.535µm
net788,136.57µm
_0615_,135.86µm
clknet_leaf_14_clk_regs,135.8µm
net827,135.435µm
clknet_leaf_32_clk_regs,135.405µm
net582,135.1µm
_1900_,135.09µm
net616,135.025µm
u_mac_2.temp_res\[10\],134.67µm
net795,134.605µm
clknet_leaf_44_clk_regs,133.73µm
net610,133.69µm
_0377_,133.63µm
net774,133.565µm
net676,133.495µm
net775,133.23µm
net713,132.97µm
net637,132.79µm
clknet_leaf_42_clk_regs,132.77µm
clknet_leaf_15_clk_regs,132.595µm
clknet_leaf_30_clk_regs,132.47µm
result_ram\[9\],132.46µm
net826,132.17µm
net829,131.95µm
net856,131.67µm
result_ram\[13\],131.44µm
_1650_,130.93µm
clknet_leaf_46_clk_regs,130.91µm
result_ram\[14\],130.72µm
net721,130.51µm
clknet_leaf_20_clk_regs,130.3µm
clknet_leaf_24_clk_regs,129.965µm
net733,129.725µm
clknet_leaf_17_clk_regs,129.68µm
net810,129.225µm
net611,129.115µm
_2046_,128.655µm
result_ram\[12\],127.61µm
result_ram\[10\],127.18µm
net779,127.105µm
net807,126.88µm
net662,126.755µm
clknet_leaf_34_clk_regs,126.25µm
_1275_,126.225µm
clknet_leaf_2_clk_regs,126.1µm
clknet_leaf_40_clk_regs,126.075µm
