Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_188_1481,VSS,Metal1,718.3260,726.2200,0.000002
FILLER_188_1474,VSS,Metal1,714.9660,726.2200,0.000002
FILLER_188_1467,VSS,Metal1,711.6060,726.2200,0.000002
FILLER_188_1460,VSS,Metal1,708.2460,726.2200,0.000002
FILLER_188_1453,VSS,Metal1,704.8860,726.2200,0.000002
FILLER_188_1446,VSS,Metal1,701.5260,726.2200,0.000002
FILLER_188_1439,VSS,Metal1,698.1660,726.2200,0.000002
FILLER_188_1432,VSS,Metal1,694.8060,726.2200,0.000002
FILLER_188_1425,VSS,Metal1,691.4460,726.2200,0.000002
FILLER_188_1418,VSS,Metal1,688.0860,726.2200,0.000002
FILLER_188_1411,VSS,Metal1,684.7260,726.2200,0.000002
FILLER_188_1404,VSS,Metal1,681.3660,726.2200,0.000002
FILLER_188_1397,VSS,Metal1,678.0060,726.2200,0.000002
FILLER_188_1390,VSS,Metal1,674.6460,726.2200,0.000002
FILLER_188_1383,VSS,Metal1,671.2860,726.2200,0.000002
FILLER_188_1376,VSS,Metal1,667.9260,726.2200,0.000002
FILLER_188_1369,VSS,Metal1,664.5660,726.2200,0.000002
FILLER_188_1362,VSS,Metal1,661.2060,726.2200,0.000002
FILLER_188_1355,VSS,Metal1,657.8460,726.2200,0.000002
FILLER_188_1348,VSS,Metal1,654.4860,726.2200,0.000002
FILLER_188_1341,VSS,Metal1,651.1260,726.2200,0.000002
FILLER_188_1334,VSS,Metal1,647.7660,726.2200,0.000002
FILLER_188_1327,VSS,Metal1,644.4060,726.2200,0.000002
FILLER_188_1320,VSS,Metal1,641.0460,726.2200,0.000002
FILLER_188_1313,VSS,Metal1,637.6860,726.2200,0.000002
FILLER_188_1306,VSS,Metal1,634.3260,726.2200,0.000002
FILLER_188_1299,VSS,Metal1,630.9660,726.2200,0.000002
FILLER_188_1292,VSS,Metal1,627.6060,726.2200,0.000002
FILLER_188_1285,VSS,Metal1,624.2460,726.2200,0.000002
FILLER_188_1278,VSS,Metal1,620.8860,726.2200,0.000002
FILLER_188_1271,VSS,Metal1,617.5260,726.2200,0.000002
FILLER_188_1264,VSS,Metal1,614.1660,726.2200,0.000002
FILLER_188_1257,VSS,Metal1,610.8060,726.2200,0.000002
FILLER_188_1250,VSS,Metal1,607.4460,726.2200,0.000002
FILLER_188_1243,VSS,Metal1,604.0860,726.2200,0.000002
FILLER_188_1236,VSS,Metal1,600.7260,726.2200,0.000002
FILLER_188_1229,VSS,Metal1,597.3660,726.2200,0.000002
FILLER_188_1222,VSS,Metal1,594.0060,726.2200,0.000002
FILLER_188_1215,VSS,Metal1,590.6460,726.2200,0.000002
FILLER_188_1208,VSS,Metal1,587.2860,726.2200,0.000002
FILLER_188_1201,VSS,Metal1,583.9260,726.2200,0.000002
FILLER_188_1194,VSS,Metal1,580.5660,726.2200,0.000002
FILLER_188_1187,VSS,Metal1,577.2060,726.2200,0.000002
FILLER_188_1180,VSS,Metal1,573.8460,726.2200,0.000002
FILLER_188_1173,VSS,Metal1,570.4860,726.2200,0.000002
FILLER_188_1166,VSS,Metal1,567.1260,726.2200,0.000002
FILLER_188_1159,VSS,Metal1,563.7660,726.2200,0.000002
FILLER_188_1152,VSS,Metal1,560.4060,726.2200,0.000002
FILLER_188_1145,VSS,Metal1,557.0460,726.2200,0.000002
FILLER_188_1138,VSS,Metal1,553.6860,726.2200,0.000002
FILLER_188_1131,VSS,Metal1,550.3260,726.2200,0.000002
